"2016/12 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2016/12/01","4,136,060,659","75,155,573,040","833,131","9,263.53","22.82",
"2016/12/02","3,786,805,782","76,297,964,684","780,668","9,189.49","-74.04",
"2016/12/05","3,391,496,476","63,592,584,448","693,698","9,160.66","-28.83",
"2016/12/06","3,667,576,986","71,426,220,272","737,772","9,250.77","90.11",
"2016/12/07","3,636,815,416","66,724,838,662","707,178","9,263.89","13.12",
"2016/12/08","4,549,781,790","91,034,926,934","910,895","9,375.86","111.97",
"2016/12/09","3,964,574,188","78,068,803,613","782,282","9,392.68","16.82",
"2016/12/12","4,035,825,377","74,175,683,178","777,262","9,349.94","-42.74",
"2016/12/13","3,812,248,527","70,197,974,184","766,143","9,382.14","32.20",
"2016/12/14","3,434,019,334","67,479,724,522","719,840","9,368.52","-13.62",
"2016/12/15","3,836,100,069","71,903,813,748","732,953","9,360.35","-8.17",
"2016/12/16","3,675,553,844","80,406,391,525","740,350","9,326.78","-33.57",
"2016/12/19","3,156,197,159","58,090,807,688","631,988","9,239.32","-87.46",
"2016/12/20","3,372,611,446","60,343,314,153","630,408","9,242.41","3.09",
"2016/12/21","3,195,514,727","59,331,527,595","598,839","9,204.26","-38.15",
"2016/12/22","3,277,666,436","58,285,930,512","628,518","9,118.75","-85.51",
"2016/12/23","2,935,828,030","53,371,654,474","583,205","9,078.64","-40.11",
"2016/12/26","2,047,647,847","32,303,039,201","389,028","9,110.54","31.90",
"2016/12/27","2,082,870,472","33,728,533,280","399,921","9,109.27","-1.27",
"2016/12/28","2,801,681,236","47,787,720,809","503,232","9,201.40","92.13",
"2016/12/29","2,703,276,096","52,765,537,345","509,429","9,153.09","-48.31",
"2016/12/30","2,740,107,596","57,440,768,952","567,025","9,253.50","100.41",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading. Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate"

