"2018/09  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2018/09/03","143,663","4,389,400","31.00","31.00","30.30","30.45","-0.60","95",
"2018/09/04","68,099","2,077,778","30.45","30.90","30.35","30.90","+0.45","45",
"2018/09/05","33,000","1,012,950","30.80","30.80","30.60","30.60","-0.30","26",
"2018/09/06","152,056","4,625,810","30.50","30.55","30.30","30.40","-0.20","87",
"2018/09/07","237,653","7,123,105","30.40","30.40","29.80","29.85","-0.55","140",
"2018/09/10","89,469","2,687,120","29.85","30.45","29.85","30.00","+0.15","72",
"2018/09/11","81,172","2,452,588","30.30","30.45","29.95","30.40","+0.40","57",
"2018/09/12","128,485","3,905,435","30.40","31.15","30.05","30.90","+0.50","80",
"2018/09/13","157,164","4,930,515","30.90","31.65","30.90","31.50","+0.60","109",
"2018/09/14","72,365","2,286,032","31.50","31.80","31.50","31.70","+0.20","48",
"2018/09/17","51,500","1,640,399","31.85","31.95","31.70","31.95","+0.25","31",
"2018/09/18","76,298","2,428,153","31.85","31.95","31.60","31.90","-0.05","39",
"2018/09/19","69,829","2,219,811","31.60","32.20","31.55","32.10","+0.20","66",
"2018/09/20","32,347","1,034,737","31.80","32.10","31.80","31.90","-0.20","26",
"2018/09/21","59,200","1,878,170","31.90","31.90","31.65","31.65","-0.25","35",
"2018/09/25","15,052","477,706","31.70","31.75","31.70","31.75","+0.10","13",
"2018/09/26","37,162","1,192,915","32.10","32.20","32.05","32.15","+0.40","36",
"2018/09/27","69,000","2,224,600","32.00","32.40","31.85","32.25","+0.10","47",
"2018/09/28","94,233","2,979,011","32.40","32.40","31.25","31.30","-0.95","87",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

