"2016/11  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2016/11/01","22,200","948,730","42.80","42.80","42.70","42.80"," 0.00","15",
"2016/11/02","65,787","2,778,789","42.50","42.50","42.00","42.00","-0.80","47",
"2016/11/03","51,030","2,134,410","42.00","42.00","41.40","41.80","-0.20","36",
"2016/11/04","53,000","2,204,850","41.80","41.80","41.50","41.60","-0.20","37",
"2016/11/07","52,185","2,172,413","42.20","42.20","41.40","41.50","-0.10","34",
"2016/11/08","23,000","954,600","41.50","41.60","41.50","41.60","+0.10","8",
"2016/11/09","156,350","6,425,274","42.15","42.15","40.40","41.90","+0.30","93",
"2016/11/10","116,080","4,842,425","42.00","43.00","41.00","41.00","-0.90","80",
"2016/11/11","48,409","1,981,269","41.00","41.00","40.80","41.00"," 0.00","37",
"2016/11/14","56,078","2,333,926","41.05","42.35","41.05","41.95","+0.95","43",
"2016/11/15","54,000","2,254,350","42.00","42.00","41.50","41.70","-0.25","39",
"2016/11/16","141,240","5,888,754","41.70","42.20","40.40","41.80","+0.10","84",
"2016/11/17","51,000","2,103,350","41.50","41.50","41.05","41.15","-0.65","31",
"2016/11/18","34,350","1,418,352","41.20","41.55","41.15","41.35","+0.20","37",
"2016/11/21","14,521","604,444","41.95","41.95","41.45","41.45","+0.10","15",
"2016/11/22","35,315","1,480,080","41.45","42.40","41.45","42.00","+0.55","30",
"2016/11/23","41,610","1,743,098","42.05","42.05","41.60","41.80","-0.20","36",
"2016/11/24","42,175","1,747,352","41.80","41.80","41.25","41.45","-0.35","36",
"2016/11/25","8,135","335,788","41.20","41.40","41.20","41.30","-0.15","12",
"2016/11/28","63,100","2,593,100","41.30","41.30","41.00","41.15","-0.15","43",
"2016/11/29","27,150","1,112,785","41.05","41.05","40.95","40.95","-0.20","26",
"2016/11/30","85,225","3,479,201","41.00","41.00","40.70","40.90","-0.05","65",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

