"2016/04  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2016/04/01","77,237","3,042,570","39.80","39.80","39.20","39.45","-0.15","48",
"2016/04/06","283,337","11,244,994","39.45","40.35","39.20","39.95","+0.50","173",
"2016/04/07","137,000","5,449,200","39.95","40.10","39.45","39.85","-0.10","73",
"2016/04/08","251,477","10,071,048","39.85","40.30","39.70","40.05","+0.20","169",
"2016/04/11","413,437","16,707,945","40.05","41.30","39.50","40.70","+0.65","233",
"2016/04/12","335,194","13,357,651","40.70","40.75","39.00","39.55","-1.15","218",
"2016/04/13","246,515","9,735,336","39.30","40.00","39.20","39.30","-0.25","169",
"2016/04/14","225,180","8,868,474","39.70","39.75","39.25","39.25","-0.05","114",
"2016/04/15","69,326","2,736,376","39.75","39.80","39.35","39.60","+0.35","42",
"2016/04/18","97,100","3,811,205","39.30","39.40","39.20","39.20","-0.40","59",
"2016/04/19","144,648","5,674,472","39.40","39.55","39.15","39.35","+0.15","87",
"2016/04/20","79,528","3,112,873","39.35","39.35","39.00","39.25","-0.10","49",
"2016/04/21","208,000","8,126,750","39.25","39.25","38.85","38.85","-0.40","118",
"2016/04/22","166,030","6,443,771","38.85","39.00","38.55","38.70","-0.15","98",
"2016/04/25","76,076","2,947,514","38.70","38.85","38.65","38.70"," 0.00","51",
"2016/04/26","47,040","1,819,860","38.70","38.80","38.55","38.70"," 0.00","35",
"2016/04/27","144,311","5,543,756","38.60","38.70","38.30","38.30","-0.40","112",
"2016/04/28","188,500","7,155,400","38.20","38.20","37.60","38.00","-0.30","116",
"2016/04/29","85,100","3,211,810","38.00","38.00","37.65","37.75","-0.25","57",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

