"2019/05 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2019/05/02","3,605,687,224","104,259,649,820","857,591","11,004.49","36.76",
"2019/05/03","3,875,733,890","116,072,003,899","882,935","11,096.30","91.81",
"2019/05/06","5,130,836,386","138,858,511,341","1,132,129","10,897.12","-199.18",
"2019/05/07","3,849,934,585","112,796,898,582","878,902","10,987.14","90.02",
"2019/05/08","4,126,259,523","110,640,781,102","931,940","10,923.71","-63.43",
"2019/05/09","5,190,749,075","141,861,985,637","1,204,274","10,733.67","-190.04",
"2019/05/10","4,735,426,313","125,459,729,355","1,080,997","10,712.99","-20.68",
"2019/05/13","4,080,948,014","114,276,157,239","994,792","10,558.29","-154.70",
"2019/05/14","5,244,992,088","140,099,246,440","1,196,365","10,519.25","-39.04",
"2019/05/15","4,224,701,558","115,662,192,260","993,321","10,560.71","41.46",
"2019/05/16","4,299,212,427","114,790,379,006","1,016,689","10,474.61","-86.10",
"2019/05/17","4,828,248,700","132,151,992,689","1,120,185","10,384.11","-90.50",
"2019/05/20","3,996,675,317","108,640,936,090","918,512","10,398.41","14.30",
"2019/05/21","4,519,183,973","129,860,209,869","1,035,223","10,464.50","66.09",
"2019/05/22","3,769,296,457","96,097,987,810","826,874","10,457.22","-7.28",
"2019/05/23","4,354,371,251","119,229,076,379","1,018,299","10,308.37","-148.85",
"2019/05/24","3,884,772,434","103,058,356,648","882,768","10,328.28","19.91",
"2019/05/27","3,577,828,232","92,744,163,214","833,532","10,334.13","5.85",
"2019/05/28","4,917,736,284","154,867,598,247","841,073","10,312.31","-21.82",
"2019/05/29","3,819,679,695","95,440,591,792","896,738","10,301.78","-10.53",
"2019/05/30","3,904,131,920","99,248,430,651","853,161","10,382.99","81.21",
"2019/05/31","4,760,031,231","126,396,386,169","1,004,840","10,498.49","115.50",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading. Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate"

