"2020/08  Daily Trading Value/Volume of 1233 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2020/08/03","17,104","625,998","36.60","36.75","36.50","36.50","-0.50","18",
"2020/08/04","26,001","955,636","36.50","37.00","36.50","36.85","+0.35","22",
"2020/08/05","2,551","94,001","36.85","36.85","36.85","36.85"," 0.00","7",
"2020/08/06","20,000","739,700","36.90","37.00","36.90","37.00","+0.15","15",
"2020/08/07","6,000","221,600","37.00","37.00","36.85","36.90","-0.10","6",
"2020/08/10","9,030","333,460","36.90","37.00","36.80","36.80","-0.10","12",
"2020/08/11","3,010","111,418","36.75","37.45","36.75","36.85","+0.05","4",
"2020/08/12","8,238","303,202","36.80","36.95","36.70","36.85"," 0.00","13",
"2020/08/13","22,413","826,918","36.80","37.00","36.70","36.75","-0.10","20",
"2020/08/14","21,204","778,359","36.50","36.90","36.50","36.55","-0.20","31",
"2020/08/17","44,738","1,653,977","36.65","37.20","36.65","37.20","+0.65","49",
"2020/08/18","14,318","531,259","37.35","37.35","36.95","37.20"," 0.00","17",
"2020/08/19","11,794","435,184","36.95","36.95","36.85","36.90","-0.30","32",
"2020/08/20","31,000","1,141,000","36.85","37.00","36.65","37.00","+0.10","30",
"2020/08/21","22,154","820,974","37.00","37.35","36.85","37.20","+0.20","19",
"2020/08/24","26,386","975,600","36.85","37.45","36.60","37.05","-0.15","31",
"2020/08/25","14,061","518,362","36.75","37.00","36.75","36.90","-0.15","19",
"2020/08/26","12,115","446,255","36.65","37.20","36.60","36.95","+0.05","12",
"2020/08/27","28,800","1,062,729","36.75","37.10","36.75","37.00","+0.05","16",
"2020/08/28","44,222","1,620,500","36.65","36.95","36.45","36.95","-0.05","42",
"2020/08/31","4,011","147,658","37.00","37.00","36.70","36.80","-0.15","6",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

