"2024/04  Daily Trading Value/Volume of 1233 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2024/04/01","24,469","825,214","33.85","34.10","33.60","34.10","+0.25","83",
"2024/04/02","6,784","231,043","34.00","34.25","34.00","34.00","-0.10","147",
"2024/04/03","8,364","282,791","33.80","33.80","33.80","33.80","-0.20","86",
"2024/04/08","8,029","272,297","33.90","33.90","33.80","33.80"," 0.00","168",
"2024/04/09","9,193","310,973","33.85","33.90","33.80","33.80"," 0.00","38",
"2024/04/10","12,245","415,347","33.95","34.10","33.80","33.85","+0.05","50",
"2024/04/11","8,052","273,139","33.85","34.00","33.85","34.00","+0.15","41",
"2024/04/12","23,123","778,216","33.90","33.90","33.50","33.60","-0.40","136",
"2024/04/15","17,290","580,007","33.50","33.55","33.50","33.55","-0.05","37",
"2024/04/16","16,004","534,637","33.50","33.50","33.30","33.30","-0.25","19",
"2024/04/17","15,945","531,816","33.30","33.70","33.25","33.25","-0.05","33",
"2024/04/18","13,740","456,952","33.25","33.25","33.15","33.25"," 0.00","30",
"2024/04/19","13,682","453,414","33.25","33.30","33.00","33.30","+0.05","40",
"2024/04/22","23,227","768,104","33.30","33.30","33.00","33.10","-0.20","32",
"2024/04/23","12,809","423,952","33.10","33.20","33.00","33.05","-0.05","29",
"2024/04/24","5,366","178,340","33.10","33.25","33.10","33.25","+0.20","12",
"2024/04/25","7,017","233,541","33.10","33.35","33.10","33.30","+0.05","12",
"2024/04/26","12,617","420,097","33.30","33.40","33.20","33.40","+0.10","16",
"2024/04/29","11,428","382,492","33.40","33.60","33.40","33.55","+0.15","23",
"2024/04/30","8,266","278,240","33.55","33.85","33.50","33.85","+0.30","14",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

