"2015/06  Daily Trading Value/Volume of 1233 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/06/01","32,374","1,458,716","45.50","45.50","44.90","44.90","-0.60","31",
"2015/06/02","24,560","1,105,182","45.00","45.00","44.90","44.90"," 0.00","23",
"2015/06/03","36,160","1,623,731","45.00","45.00","44.80","44.80","-0.10","32",
"2015/06/04","24,350","1,087,930","44.85","44.85","44.50","44.50","-0.30","26",
"2015/06/05","68,050","3,020,750","44.50","44.50","44.05","44.10","-0.40","38",
"2015/06/08","47,050","2,059,564","43.80","44.40","43.65","43.70","-0.40","37",
"2015/06/09","21,056","924,492","43.80","44.00","43.70","43.95","+0.25","19",
"2015/06/10","20,056","879,847","43.95","44.00","43.65","43.80","-0.15","21",
"2015/06/11","35,200","1,537,810","43.80","44.00","43.45","43.70","-0.10","29",
"2015/06/12","7,210","314,908","43.65","43.70","43.65","43.70"," 0.00","9",
"2015/06/15","32,046","1,400,868","43.70","43.90","43.65","43.65","-0.05","25",
"2015/06/16","26,000","1,135,300","43.85","43.85","43.65","43.70","+0.05","24",
"2015/06/17","50,393","2,189,583","43.70","43.95","43.00","43.10","-0.60","48",
"2015/06/18","18,000","777,650","43.60","43.60","43.10","43.30","+0.20","16",
"2015/06/22","34,190","1,483,489","43.45","43.45","43.30","43.40","+0.10","30",
"2015/06/23","27,000","1,182,150","43.70","43.85","43.70","43.80","+0.40","16",
"2015/06/24","13,692","600,592","44.00","44.00","43.80","43.80"," 0.00","17",
"2015/06/25","16,046","705,843","43.80","44.50","43.80","44.45","+0.65","18",
"2015/06/26","45,790","2,018,460","44.60","44.65","43.90","44.60","+0.15","31",
"2015/06/29","67,109","2,967,461","44.50","44.50","43.90","44.05","-0.55","28",
"2015/06/30","8,012","355,033","44.10","44.45","44.10","44.20","+0.15","7",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

