"2015/04  Daily Trading Value/Volume of 1233 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/04/01","94,043","4,404,533","47.20","47.20","46.75","46.75","-0.45","51",
"2015/04/02","42,159","1,976,023","46.90","47.10","46.75","47.00","+0.25","37",
"2015/04/07","39,521","1,854,487","47.00","47.10","46.80","47.10","+0.10","34",
"2015/04/08","24,045","1,129,868","47.00","47.00","46.95","47.00","-0.10","28",
"2015/04/09","31,000","1,456,500","47.00","47.00","46.90","47.00"," 0.00","20",
"2015/04/10","62,001","2,901,147","46.90","46.90","46.70","46.80","-0.20","36",
"2015/04/13","39,000","1,825,000","46.80","46.95","46.70","46.70","-0.10","33",
"2015/04/14","15,101","706,317","46.90","46.90","46.70","46.70"," 0.00","15",
"2015/04/15","32,094","1,499,536","46.80","46.90","46.60","46.60","-0.10","38",
"2015/04/16","36,004","1,679,684","46.60","46.90","46.60","46.65","+0.05","33",
"2015/04/17","33,160","1,544,970","46.60","46.90","46.50","46.90","+0.25","32",
"2015/04/20","17,307","809,571","46.90","46.90","46.65","46.80","-0.10","14",
"2015/04/21","14,320","668,244","46.85","46.85","46.60","46.80"," 0.00","13",
"2015/04/22","70,142","3,271,601","47.00","47.00","46.50","46.75","-0.05","49",
"2015/04/23","41,100","1,920,800","46.80","46.85","46.60","46.60","-0.15","38",
"2015/04/24","35,456","1,659,634","46.60","46.90","46.60","46.85","+0.25","38",
"2015/04/27","103,250","4,857,024","46.90","47.20","46.90","47.10","+0.25","85",
"2015/04/28","28,344","1,334,717","47.15","47.15","47.00","47.15","+0.05","31",
"2015/04/29","92,001","4,328,247","47.15","47.20","46.90","47.00","-0.15","65",
"2015/04/30","55,000","2,581,800","47.10","47.10","46.70","47.00"," 0.00","43",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

