"2015/11  Daily Trading Value/Volume of 1233 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/11/02","25,244","972,186","38.50","38.50","38.50","38.50"," 0.00","13",
"2015/11/03","7,000","270,300","38.50","38.70","38.50","38.55","+0.05","7",
"2015/11/04","49,092","1,904,147","38.70","39.00","38.55","39.00","+0.45","37",
"2015/11/05","11,136","431,972","39.00","39.00","38.55","39.00"," 0.00","13",
"2015/11/06","20,004","771,910","39.00","39.00","38.50","38.50","-0.50","19",
"2015/11/09","10,200","396,600","39.00","39.10","38.70","38.90","+0.40","11",
"2015/11/10","17,062","658,593","38.90","38.90","38.50","38.50","-0.40","13",
"2015/11/11","18,154","697,659","38.50","38.70","37.60","38.60","+0.10","21",
"2015/11/12","13,937","529,556","38.35","38.35","37.80","37.80","-0.80","16",
"2015/11/13","6,000","226,800","37.80","37.80","37.80","37.80"," 0.00","4",
"2015/11/16","9,000","339,100","37.90","37.90","37.60","37.60","-0.20","8",
"2015/11/17","50,000","1,889,850","37.70","38.00","37.60","38.00","+0.40","20",
"2015/11/18","12,000","453,100","38.20","38.20","37.50","37.50","-0.50","11",
"2015/11/19","13,168","489,866","37.10","37.30","37.10","37.30","-0.20","16",
"2015/11/20","17,050","639,584","37.50","37.60","37.30","37.60","+0.30","18",
"2015/11/23","15,000","567,800","37.60","38.00","37.60","38.00","+0.40","10",
"2015/11/24","18,000","682,600","38.00","38.00","37.50","38.00"," 0.00","10",
"2015/11/25","15,265","579,207","38.00","38.00","37.60","37.60","-0.40","11",
"2015/11/26","9,103","342,464","37.60","37.65","37.60","37.65","+0.05","11",
"2015/11/27","9,000","338,700","37.60","37.90","37.60","37.60","-0.05","8",
"2015/11/30","5,010","188,378","37.50","38.00","37.50","37.50","-0.10","6",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

