"2015/10  Daily Trading Value/Volume of 1233 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/10/01","6,440","241,077","37.40","37.40","37.20","37.30","-0.20","11",
"2015/10/02","8,300","314,108","37.80","38.00","37.70","37.70","+0.40","12",
"2015/10/05","19,049","720,290","37.60","38.00","37.60","37.60","-0.10","18",
"2015/10/06","17,253","648,340","37.60","37.70","37.25","37.25","-0.35","18",
"2015/10/07","3,052","114,576","37.60","37.60","37.50","37.50","+0.25","6",
"2015/10/08","12,000","454,050","37.60","37.95","37.60","37.95","+0.45","10",
"2015/10/12","27,210","1,043,835","38.00","38.50","38.00","38.40","+0.45","27",
"2015/10/13","7,056","271,326","38.50","38.50","38.40","38.40"," 0.00","10",
"2015/10/14","15,000","577,850","38.40","38.75","38.40","38.50","+0.10","13",
"2015/10/15","20,030","770,870","38.70","38.80","38.20","38.80","+0.30","18",
"2015/10/16","6,090","235,442","38.80","38.80","38.50","38.75","-0.05","8",
"2015/10/19","27,155","1,050,289","38.75","38.80","38.30","38.50","-0.25","19",
"2015/10/20","14,050","540,985","38.60","38.60","38.45","38.50"," 0.00","14",
"2015/10/21","25,391","985,949","38.80","39.00","38.50","39.00","+0.50","27",
"2015/10/22","8,050","313,079","38.90","39.00","38.70","39.00"," 0.00","10",
"2015/10/23","29,365","1,134,760","38.70","38.80","38.50","38.80","-0.20","21",
"2015/10/26","32,100","1,239,440","38.70","39.00","38.50","38.50","-0.30","25",
"2015/10/27","15,200","584,750","38.50","38.50","38.35","38.35","-0.15","12",
"2015/10/28","25,030","963,120","38.40","38.60","38.35","38.60","+0.25","17",
"2015/10/29","8,237","316,324","38.55","38.55","38.30","38.30","-0.30","10",
"2015/10/30","8,000","305,450","38.15","38.50","38.00","38.50","+0.20","7",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

