"2020/06  Daily Trading Value/Volume of 2395 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2020/06/01","861,838","256,557,710","300.00","301.50","294.00","294.00","-3.00","793",
"2020/06/02","564,650","166,422,600","294.50","298.00","292.00","294.00"," 0.00","497",
"2020/06/03","863,764","255,788,644","298.00","299.50","293.00","296.50","+2.50","802",
"2020/06/04","914,517","272,070,566","296.50","299.50","295.50","298.00","+1.50","786",
"2020/06/05","622,011","183,694,228","297.00","298.00","294.00","294.50","-3.50","534",
"2020/06/08","743,067","219,345,765","295.50","298.00","292.50","297.00","+2.50","703",
"2020/06/09","500,036","147,362,620","297.00","297.00","293.00","295.00","-2.00","445",
"2020/06/10","732,384","215,531,853","294.00","296.00","293.00","294.00","-1.00","645",
"2020/06/11","548,872","162,106,427","295.50","298.50","292.50","294.00"," 0.00","475",
"2020/06/12","581,931","169,162,421","291.00","292.50","289.00","290.00","-4.00","521",
"2020/06/15","651,436","190,328,898","290.50","295.50","289.50","292.00","+2.00","498",
"2020/06/16","711,367","212,427,672","294.00","300.50","293.00","297.50","+5.50","594",
"2020/06/17","623,475","185,334,625","295.50","299.00","295.50","296.50","-1.00","483",
"2020/06/18","293,193","87,250,104","298.50","299.00","295.50","298.50","+2.00","273",
"2020/06/19","1,260,156","373,668,864","297.00","300.00","295.50","295.50","-3.00","671",
"2020/06/22","194,993","58,149,407","296.00","299.50","296.00","298.00","+2.50","186",
"2020/06/23","523,323","155,351,785","299.50","300.50","295.00","295.00","-3.00","434",
"2020/06/24","520,549","153,505,178","296.00","298.00","294.00","294.00","-1.00","385",
"2020/06/29","1,307,003","378,888,382","294.00","294.50","285.50","293.00","-1.00","1,029",
"2020/06/30","612,156","180,556,488","294.50","297.00","291.50","295.50","+2.50","404",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

