"2025/03  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2025/03/03","47,539","1,705,425","35.90","36.00","35.80","35.90"," 0.00","161",
"2025/03/04","30,828","1,107,951","35.90","36.00","35.85","36.00","+0.10","69",
"2025/03/05","117,923","4,244,235","35.90","36.05","35.85","36.05","+0.05","99",
"2025/03/06","68,228","2,460,777","36.05","36.10","36.00","36.05"," 0.00","59",
"2025/03/07","66,608","2,398,988","36.05","36.05","35.95","36.00","-0.05","104",
"2025/03/10","73,750","2,655,481","36.05","36.10","35.90","36.05","+0.05","67",
"2025/03/11","477,063","17,375,951","36.00","37.10","35.95","36.85","+0.80","595",
"2025/03/12","326,051","12,116,639","37.00","37.45","36.85","37.35","+0.50","279",
"2025/03/13","376,138","14,147,855","37.35","37.80","37.35","37.45","+0.10","375",
"2025/03/14","195,451","7,358,780","37.50","37.80","37.35","37.40","-0.05","527",
"2025/03/17","123,412","4,627,599","37.40","37.65","37.40","37.45","+0.05","143",
"2025/03/18","182,297","6,877,331","37.45","37.85","37.45","37.65","+0.20","177",
"2025/03/19","133,980","5,040,807","37.70","37.80","37.50","37.70","+0.05","124",
"2025/03/20","186,791","7,051,739","37.70","37.85","37.70","37.75","+0.05","135",
"2025/03/21","184,539","6,967,701","37.60","37.95","37.60","37.85","+0.10","107",
"2025/03/24","168,333","6,321,623","37.85","37.85","37.35","37.35","-0.50","143",
"2025/03/25","122,894","4,587,803","37.45","37.50","37.10","37.10","-0.25","107",
"2025/03/26","94,109","3,502,275","37.10","37.30","37.10","37.20","+0.10","70",
"2025/03/27","96,367","3,594,630","37.20","37.40","37.20","37.35","+0.15","67",
"2025/03/28","223,974","8,276,040","37.20","37.30","36.80","37.20","-0.15","156",
"2025/03/31","168,972","6,178,362","37.05","37.05","36.30","36.55","-0.65","179",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

