"2024/02  Daily Trading Value/Volume of 2103 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2024/02/01","403,217","9,012,579","22.30","22.45","22.25","22.40","+0.30","325",
"2024/02/02","308,206","6,891,669","22.40","22.40","22.30","22.30","-0.10","290",
"2024/02/05","394,333","8,767,914","22.30","22.40","22.10","22.40","+0.10","327",
"2024/02/15","989,782","22,223,378","22.50","22.55","22.30","22.50","+0.10","663",
"2024/02/16","1,336,213","30,566,670","22.60","23.10","22.60","22.90","+0.40","751",
"2024/02/19","3,011,398","70,257,623","23.05","23.60","23.00","23.45","+0.55","1,443",
"2024/02/20","2,893,435","67,945,401","23.65","23.80","23.35","23.35","-0.10","1,098",
"2024/02/21","1,618,516","37,889,683","23.40","23.60","23.35","23.45","+0.10","839",
"2024/02/22","844,641","19,765,193","23.45","23.45","23.35","23.35","-0.10","481",
"2024/02/23","1,189,858","27,675,000","23.35","23.45","23.10","23.10","-0.25","682",
"2024/02/26","791,108","18,274,915","23.05","23.25","23.05","23.05","-0.05","558",
"2024/02/27","1,180,039","26,962,528","23.00","23.05","22.70","22.80","-0.25","692",
"2024/02/29","1,003,924","22,951,855","22.80","23.00","22.80","22.80"," 0.00","458",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

