"2020/01  Daily Trading Value/Volume of 2103 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2020/01/02","605,417","14,599,358","24.15","24.20","24.05","24.10"," 0.00","370",
"2020/01/03","1,014,402","24,406,975","24.10","24.15","24.00","24.10"," 0.00","523",
"2020/01/06","604,125","14,527,299","24.10","24.10","24.00","24.10"," 0.00","326",
"2020/01/07","1,618,284","38,773,688","24.05","24.05","23.80","23.90","-0.20","797",
"2020/01/08","1,257,523","29,980,385","23.85","23.95","23.80","23.80","-0.10","709",
"2020/01/09","551,768","13,201,543","23.90","24.00","23.90","23.90","+0.10","345",
"2020/01/10","522,984","12,519,399","23.90","24.00","23.90","23.95","+0.05","331",
"2020/01/13","488,821","11,733,610","24.00","24.10","23.95","24.00","+0.05","276",
"2020/01/14","397,748","9,567,628","24.05","24.10","24.00","24.05","+0.05","279",
"2020/01/15","434,911","10,444,551","24.05","24.10","24.00","24.05"," 0.00","309",
"2020/01/16","375,729","9,018,446","24.05","24.05","24.00","24.00","-0.05","250",
"2020/01/17","402,035","9,681,734","24.05","24.15","24.05","24.10","+0.10","253",
"2020/01/20","828,770","20,024,912","24.10","24.20","24.10","24.20","+0.10","379",
"2020/01/30","3,102,181","72,173,419","23.85","23.85","23.00","23.00","-1.20","1,639",
"2020/01/31","1,178,962","27,125,314","22.80","23.25","22.80","23.00"," 0.00","657",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

