"2022/02  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2022/02/07","58,340","1,600,472","27.40","27.60","27.35","27.55","+0.20","50",
"2022/02/08","73,111","2,034,505","27.55","28.00","27.55","27.80","+0.25","43",
"2022/02/09","32,518","907,147","27.85","28.00","27.85","27.85","+0.05","30",
"2022/02/10","101,427","2,819,278","27.80","28.05","27.70","27.90","+0.05","105",
"2022/02/11","105,115","2,941,251","27.90","28.15","27.90","27.95","+0.05","59",
"2022/02/14","61,002","1,696,755","27.80","27.85","27.75","27.80","-0.15","40",
"2022/02/15","43,697","1,219,108","27.80","28.00","27.80","27.80"," 0.00","46",
"2022/02/16","94,166","2,639,014","27.95","28.15","27.95","28.15","+0.35","42",
"2022/02/17","45,110","1,271,874","28.30","28.30","28.05","28.05","-0.10","27",
"2022/02/18","57,185","1,602,392","28.00","28.10","27.95","28.10","+0.05","53",
"2022/02/21","85,185","2,385,264","28.10","28.10","27.95","28.00","-0.10","46",
"2022/02/22","61,390","1,707,426","27.95","27.95","27.70","27.85","-0.15","48",
"2022/02/23","39,101","1,093,131","27.90","28.00","27.85","27.95","+0.10","28",
"2022/02/24","98,640","2,732,191","27.85","27.95","27.50","27.50","-0.45","56",
"2022/02/25","46,159","1,270,443","27.55","27.60","27.40","27.50"," 0.00","32",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

