"2019/06  Daily Trading Value/Volume of 2103 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2019/06/03","424,054","11,802,544","28.00","28.00","27.70","27.80","-0.25","322",
"2019/06/04","286,258","7,982,792","27.70","28.00","27.70","27.95","+0.15","222",
"2019/06/05","380,755","10,608,585","27.90","28.00","27.75","27.75","-0.20","272",
"2019/06/06","268,589","7,411,719","27.75","27.75","27.50","27.55","-0.20","197",
"2019/06/10","430,536","11,813,397","27.60","27.65","27.30","27.60","+0.05","306",
"2019/06/11","627,096","17,150,416","27.65","27.65","27.25","27.35","-0.25","413",
"2019/06/12","381,498","10,442,940","27.35","27.65","27.30","27.45","+0.10","332",
"2019/06/13","259,273","7,086,960","27.45","27.45","27.30","27.35","-0.10","223",
"2019/06/14","296,908","8,095,334","27.35","27.40","27.20","27.25","-0.10","219",
"2019/06/17","458,966","12,483,098","27.25","27.30","27.15","27.15","-0.10","345",
"2019/06/18","448,211","12,252,775","27.20","27.50","27.20","27.40","+0.25","320",
"2019/06/19","505,100","13,887,383","27.45","27.60","27.40","27.50","+0.10","445",
"2019/06/20","417,919","11,538,909","27.55","27.70","27.55","27.60","+0.10","298",
"2019/06/21","641,242","17,782,561","27.60","27.85","27.60","27.70","+0.10","431",
"2019/06/24","586,585","16,364,624","27.90","28.00","27.75","27.75","+0.05","449",
"2019/06/25","476,316","13,182,228","27.75","27.75","27.60","27.65","-0.10","273",
"2019/06/26","424,889","11,796,031","27.60","27.85","27.60","27.70","+0.05","233",
"2019/06/27","495,599","13,725,401","27.70","27.85","27.60","27.70"," 0.00","394",
"2019/06/28","268,205","7,433,373","27.70","27.80","27.65","27.70"," 0.00","174",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

