"2021/04  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2021/04/01","200,587","5,417,883","27.05","27.10","26.90","27.05","-0.10","77",
"2021/04/06","110,537","2,995,301","27.05","27.20","27.05","27.15","+0.10","64",
"2021/04/07","82,175","2,230,558","27.25","27.30","27.05","27.15"," 0.00","49",
"2021/04/08","191,965","5,185,722","27.10","27.15","26.95","27.15"," 0.00","99",
"2021/04/09","264,256","7,139,955","27.15","27.20","26.95","27.15"," 0.00","97",
"2021/04/12","181,547","4,891,810","27.00","27.05","26.85","27.00","-0.15","106",
"2021/04/13","86,700","2,340,274","27.00","27.20","26.85","26.85","-0.15","68",
"2021/04/14","76,823","2,064,714","27.10","27.10","26.80","26.80","-0.05","63",
"2021/04/15","69,440","1,864,759","26.80","27.00","26.80","26.80"," 0.00","44",
"2021/04/16","69,353","1,860,509","26.85","26.90","26.80","26.80"," 0.00","63",
"2021/04/19","154,884","4,173,457","26.85","27.10","26.80","27.10","+0.30","99",
"2021/04/20","172,622","4,675,793","27.10","27.15","26.95","27.15","+0.05","86",
"2021/04/21","461,131","12,317,267","27.05","27.05","26.50","26.75","-0.40","329",
"2021/04/22","1,056,964","27,467,484","26.30","26.55","25.70","26.20","-0.55","514",
"2021/04/23","286,393","7,416,467","26.20","26.20","25.80","26.00","-0.20","217",
"2021/04/26","263,106","6,801,356","25.85","26.00","25.75","25.90","-0.10","182",
"2021/04/27","135,086","3,526,173","26.00","26.20","25.80","26.15","+0.25","95",
"2021/04/28","220,283","5,802,290","26.20","26.80","26.00","26.30","+0.15","159",
"2021/04/29","146,460","3,877,785","26.30","26.55","26.30","26.45","+0.15","91",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

