"2021/02  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2021/02/01","34,160","920,119","26.95","27.10","26.80","26.90","-0.05","35",
"2021/02/02","80,002","2,172,853","26.95","27.65","26.95","26.95","+0.05","55",
"2021/02/03","51,311","1,385,493","26.95","27.10","26.90","27.00","+0.05","34",
"2021/02/04","137,905","3,690,143","26.90","27.00","26.70","26.70","-0.30","90",
"2021/02/05","66,956","1,804,725","26.75","27.10","26.75","26.90","+0.20","38",
"2021/02/17","47,173","1,270,221","26.90","27.05","26.90","27.00","+0.10","30",
"2021/02/18","75,870","2,044,100","27.15","27.15","26.80","27.05","+0.05","50",
"2021/02/19","27,135","731,286","26.90","27.00","26.90","26.95","-0.10","23",
"2021/02/22","127,332","3,433,212","27.00","27.10","26.85","27.00","+0.05","61",
"2021/02/23","112,513","3,032,650","27.15","27.15","26.85","27.10","+0.10","82",
"2021/02/24","370,813","10,085,349","27.20","27.50","27.10","27.25","+0.15","118",
"2021/02/25","192,341","5,264,305","27.40","27.50","27.25","27.35","+0.10","102",
"2021/02/26","133,688","3,630,970","27.40","27.40","27.00","27.20","-0.15","88",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

