"2020/09 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2020/09/01","7,167,104,775","230,689,544,409","1,764,888","12,703.28","111.83",
"2020/09/02","6,761,533,425","212,372,719,314","1,741,144","12,699.50","-3.78",
"2020/09/03","8,851,967,296","238,405,949,077","2,016,901","12,757.97","58.47",
"2020/09/04","8,831,958,331","234,170,189,997","2,060,642","12,637.95","-120.02",
"2020/09/07","8,517,685,710","228,208,318,563","2,076,345","12,601.40","-36.55",
"2020/09/08","7,166,397,704","205,876,584,432","1,773,522","12,663.56","62.16",
"2020/09/09","7,663,239,516","210,164,733,745","1,803,997","12,608.58","-54.98",
"2020/09/10","7,558,292,158","199,824,838,839","1,779,291","12,691.75","83.17",
"2020/09/11","7,457,620,960","191,926,504,802","1,805,395","12,675.95","-15.80",
"2020/09/14","5,970,714,461","180,017,547,568","1,500,324","12,787.82","111.87",
"2020/09/15","6,115,853,792","188,893,786,815","1,594,597","12,845.65","57.83",
"2020/09/16","6,346,241,822","210,538,750,403","1,590,063","12,976.76","131.11",
"2020/09/17","5,839,451,372","189,513,576,395","1,553,743","12,872.74","-104.02",
"2020/09/18","6,121,502,346","205,193,750,519","1,539,522","12,875.62","2.88",
"2020/09/21","6,119,694,551","175,367,408,334","1,541,831","12,795.12","-80.50",
"2020/09/22","6,036,770,813","174,264,803,514","1,561,564","12,645.51","-149.61",
"2020/09/23","5,513,876,861","175,526,105,776","1,524,338","12,583.88","-61.63",
"2020/09/24","7,819,019,250","245,936,885,355","2,200,135","12,264.38","-319.50",
"2020/09/25","6,649,496,910","212,269,144,121","1,784,334","12,232.91","-31.47",
"2020/09/28","5,029,633,502","156,017,854,614","1,249,426","12,462.76","229.85",
"2020/09/29","5,160,203,390","167,365,571,350","1,231,654","12,467.73","4.97",
"2020/09/30","4,306,132,547","138,726,456,634","1,044,012","12,515.61","47.88",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading. Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate"

