"2020/05 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2020/05/04","5,765,177,939","191,090,738,853","1,556,445","10,720.48","-271.66",
"2020/05/05","4,705,783,752","179,302,767,364","1,418,246","10,774.61","54.13",
"2020/05/06","5,314,704,402","182,668,855,857","1,558,535","10,774.98","0.37",
"2020/05/07","4,780,230,104","168,677,762,728","1,405,855","10,842.92","67.94",
"2020/05/08","5,098,107,890","187,830,439,900","1,527,810","10,901.42","58.50",
"2020/05/11","5,458,626,713","169,831,280,692","1,532,061","11,013.26","111.84",
"2020/05/12","5,014,964,552","174,437,565,850","1,475,993","10,879.47","-133.79",
"2020/05/13","4,751,016,651","168,204,611,361","1,350,741","10,938.27","58.80",
"2020/05/14","5,561,899,832","188,103,842,946","1,593,373","10,780.88","-157.39",
"2020/05/15","4,835,287,814","176,429,392,231","1,376,021","10,814.92","34.04",
"2020/05/18","4,741,087,880","195,170,626,320","1,403,818","10,740.55","-74.37",
"2020/05/19","5,142,779,078","189,282,766,550","1,501,409","10,860.44","119.89",
"2020/05/20","4,509,534,398","172,537,826,062","1,375,269","10,907.80","47.36",
"2020/05/21","4,885,891,165","172,218,053,521","1,390,386","11,008.31","100.51",
"2020/05/22","5,054,277,645","178,399,370,544","1,527,217","10,811.15","-197.16",
"2020/05/25","4,139,816,654","148,792,998,499","1,207,831","10,871.18","60.03",
"2020/05/26","5,106,168,038","182,416,463,343","1,498,204","10,997.21","126.03",
"2020/05/27","4,721,324,227","157,944,246,242","1,376,696","11,014.66","17.45",
"2020/05/28","5,239,764,437","173,084,681,796","1,498,455","10,944.19","-70.47",
"2020/05/29","5,508,327,470","215,603,913,046","1,218,573","10,942.16","-2.03",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"The total trade value including foreign currency ETFs is converted into NTD, using the exchange rate posted at 3:30pm on the day of trading. Please refer to our official website at https://www.twse.com.tw/en/ Home > Market Info>Dual-Currency Trading ETFs>Daily exchange rate"

