"2023/01  Daily Trading Value/Volume of 6128 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2023/01/03","35,222","1,038,964","29.50","29.55","29.45","29.45"," 0.00","29",
"2023/01/04","95,001","2,802,879","29.50","29.65","29.40","29.55","+0.10","30",
"2023/01/05","109,033","3,231,178","29.60","29.70","29.55","29.55"," 0.00","61",
"2023/01/06","74,311","2,208,800","29.60","29.80","29.60","29.65","+0.10","46",
"2023/01/09","201,139","6,014,755","29.75","30.00","29.70","29.95","+0.30","98",
"2023/01/10","262,360","7,911,706","30.00","30.35","30.00","30.30","+0.35","147",
"2023/01/11","209,677","6,312,013","30.15","30.30","30.00","30.30"," 0.00","115",
"2023/01/12","154,368","4,653,380","30.40","30.40","30.05","30.25","-0.05","65",
"2023/01/13","161,055","4,877,912","30.30","30.40","30.20","30.30","+0.05","74",
"2023/01/16","41,200","1,242,805","30.50","30.50","30.05","30.10","-0.20","33",
"2023/01/17","96,373","2,893,748","30.00","30.15","30.00","30.10"," 0.00","59",
"2023/01/30","105,284","3,182,945","30.20","30.35","30.15","30.20","+0.10","72",
"2023/01/31","88,117","2,648,870","30.30","30.30","29.90","30.10","-0.10","57",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

