"2018/10  Daily Trading Value/Volume of 1477 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2018/10/01","634,908","95,973,608","151.00","153.00","150.00","151.50"," 0.00","524",
"2018/10/02","932,038","140,328,776","151.50","153.50","148.00","153.00","+1.50","670",
"2018/10/03","773,595","117,555,732","153.00","153.00","150.50","151.50","-1.50","601",
"2018/10/04","2,131,810","328,296,712","155.00","156.50","150.00","151.00","-0.50","1,489",
"2018/10/05","2,240,000","341,682,496","151.50","154.50","149.50","151.50","+0.50","1,678",
"2018/10/08","1,840,120","285,630,154","152.50","157.00","152.00","156.50","+5.00","1,353",
"2018/10/09","7,777,556","1,261,732,460","157.50","165.00","157.50","160.00","+3.50","4,816",
"2018/10/11","5,047,364","768,379,828","156.50","158.00","147.50","152.00","-8.00","3,514",
"2018/10/12","2,535,807","384,123,370","150.00","153.50","149.00","153.50","+1.50","1,756",
"2018/10/15","1,143,163","175,151,765","154.00","155.00","152.00","154.00","+0.50","860",
"2018/10/16","5,462,134","881,334,208","156.50","163.00","156.50","163.00","+9.00","4,106",
"2018/10/17","3,818,147","627,197,814","167.00","168.00","161.50","163.00"," 0.00","2,986",
"2018/10/18","5,270,948","885,033,712","164.00","170.00","163.00","170.00","+7.00","3,845",
"2018/10/19","7,887,145","1,302,821,198","167.00","171.00","162.00","163.50","-6.50","4,850",
"2018/10/22","1,524,380","249,867,940","163.50","166.00","162.00","163.00","-0.50","1,195",
"2018/10/23","2,627,163","416,490,165","161.00","163.50","156.50","157.50","-5.50","2,001",
"2018/10/24","8,126,707","1,364,712,483","164.50","172.00","163.00","170.00","+12.50","5,874",
"2018/10/25","4,223,003","701,212,485","168.00","169.50","162.50","166.00","-4.00","3,088",
"2018/10/26","2,444,744","402,875,772","167.50","169.50","160.50","163.00","-3.00","1,894",
"2018/10/29","2,741,791","458,236,404","164.00","170.50","163.00","166.00","+3.00","1,733",
"2018/10/30","3,091,373","517,190,418","166.50","170.50","163.00","166.50","+0.50","2,356",
"2018/10/31","3,799,779","634,749,035","168.50","173.00","163.50","166.00","-0.50","2,958",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

