"2022/05  Daily Trading Value/Volume of 2912 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2022/05/03","1,937,325","539,933,622","275.00","280.00","275.00","279.00","+5.50","2,820",
"2022/05/04","881,713","245,520,441","279.00","280.00","277.50","277.50","-1.50","1,427",
"2022/05/05","744,340","206,893,571","277.50","279.00","277.00","278.00","+0.50","1,661",
"2022/05/06","2,172,898","597,641,301","274.50","277.00","273.00","275.00","-3.00","2,422",
"2022/05/09","1,143,949","307,746,958","270.00","272.50","267.00","267.00","-8.00","3,038",
"2022/05/10","1,155,209","307,543,410","267.50","268.00","264.00","265.50","-1.50","4,584",
"2022/05/11","1,093,560","289,165,140","264.00","267.00","263.00","264.50","-1.00","3,959",
"2022/05/12","845,409","221,960,437","264.50","265.00","261.00","261.00","-3.50","6,028",
"2022/05/13","759,983","201,395,409","264.50","267.50","263.00","265.00","+4.00","1,688",
"2022/05/16","567,293","150,430,324","268.00","268.50","264.00","264.00","-1.00","1,007",
"2022/05/17","1,014,513","266,504,991","267.50","267.50","261.00","261.50","-2.50","1,835",
"2022/05/18","1,793,462","478,453,937","261.50","269.50","261.50","269.50","+8.00","2,667",
"2022/05/19","2,934,594","794,554,310","267.00","278.00","263.50","278.00","+8.50","2,937",
"2022/05/20","3,516,463","955,851,251","275.50","277.00","267.50","271.50","-6.50","3,925",
"2022/05/23","2,956,185","776,361,134","268.50","269.00","261.50","262.00","-9.50","2,857",
"2022/05/24","2,351,991","617,565,165","261.50","265.00","260.00","264.00","+2.00","1,749",
"2022/05/25","2,141,080","568,867,261","264.00","268.50","262.50","268.50","+4.50","1,624",
"2022/05/26","1,684,424","451,438,241","269.00","269.50","265.50","269.50","+1.00","1,460",
"2022/05/27","1,886,688","507,527,940","270.00","271.50","266.00","269.50"," 0.00","1,570",
"2022/05/30","1,940,498","517,368,425","267.50","269.00","263.50","268.50","-1.00","1,718",
"2022/05/31","3,664,175","994,410,848","267.00","275.50","265.00","275.50","+7.00","1,786",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

