"2023/09  Daily Trading Value/Volume of 6184 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2023/09/01","25,579","1,302,321","50.90","51.00","50.70","50.90","+0.20","32",
"2023/09/04","35,261","1,795,819","50.90","51.00","50.80","50.80","-0.10","34",
"2023/09/05","132,658","6,677,333","51.00","51.00","50.10","50.30","-0.50","101",
"2023/09/06","163,983","8,214,519","50.30","50.50","50.00","50.20","-0.10","153",
"2023/09/07","16,366","821,624","50.10","50.40","50.10","50.30","+0.10","26",
"2023/09/08","9,615","483,298","50.30","50.30","50.20","50.20","-0.10","20",
"2023/09/11","23,495","1,180,447","50.30","50.40","50.10","50.30","+0.10","30",
"2023/09/12","57,268","2,869,242","50.30","50.30","50.00","50.30"," 0.00","53",
"2023/09/13","25,339","1,273,739","50.10","50.40","50.10","50.20","-0.10","46",
"2023/09/14","29,934","1,500,515","50.20","50.30","50.00","50.20"," 0.00","47",
"2023/09/15","19,523","981,702","50.20","50.30","50.20","50.30","+0.10","33",
"2023/09/18","28,501","1,432,568","50.50","50.50","50.20","50.30"," 0.00","39",
"2023/09/19","21,161","1,064,444","50.30","50.30","50.30","50.30"," 0.00","25",
"2023/09/20","14,460","728,377","50.40","50.40","50.30","50.40","+0.10","26",
"2023/09/21","45,124","2,267,348","50.30","50.40","50.10","50.30","-0.10","37",
"2023/09/22","17,979","902,716","50.30","50.30","50.10","50.20","-0.10","26",
"2023/09/25","37,129","1,861,326","50.20","50.20","50.10","50.20"," 0.00","27",
"2023/09/26","18,069","906,376","50.20","50.20","50.10","50.10","-0.10","22",
"2023/09/27","20,834","1,044,376","50.00","50.20","50.00","50.20","+0.10","22",
"2023/09/28","13,038","656,830","50.60","50.60","50.20","50.20"," 0.00","20",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

