"2015/04 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2015/04/01","4,767,155,415","87,244,876,138","830,210","9,507.66","-78.78",
"2015/04/02","4,444,159,349","94,545,360,840","839,636","9,600.32","92.66",
"2015/04/07","4,475,869,230","93,042,457,816","855,949","9,641.90","41.58",
"2015/04/08","4,964,321,091","94,461,032,200","917,947","9,571.97","-69.93",
"2015/04/09","5,487,812,296","100,860,943,480","940,893","9,568.04","-3.93",
"2015/04/10","4,888,368,216","92,668,765,540","869,673","9,617.70","49.66",
"2015/04/13","4,689,419,992","86,796,279,970","836,307","9,666.52","48.82",
"2015/04/14","5,377,952,198","94,828,954,001","860,303","9,642.22","-24.30",
"2015/04/15","5,776,807,536","114,465,047,447","1,021,714","9,540.06","-102.16",
"2015/04/16","5,454,887,647","104,637,603,001","951,717","9,656.87","116.81",
"2015/04/17","5,148,406,223","99,134,368,657","891,062","9,570.93","-85.94",
"2015/04/20","4,912,281,564","91,460,781,461","835,649","9,552.85","-18.08",
"2015/04/21","5,173,309,030","94,463,486,011","861,574","9,533.98","-18.87",
"2015/04/22","5,740,755,642","104,685,071,765","879,319","9,613.00","79.02",
"2015/04/23","7,896,791,432","144,526,139,494","1,237,028","9,797.49","184.49",
"2015/04/24","7,901,237,149","168,637,243,750","1,309,641","9,913.28","115.79",
"2015/04/27","6,949,305,336","132,148,192,125","1,129,116","9,973.12","59.84",
"2015/04/28","6,429,869,782","118,166,427,631","1,060,989","9,956.83","-16.29",
"2015/04/29","6,257,225,514","114,996,622,976","1,063,477","9,853.83","-103.00",
"2015/04/30","5,308,551,928","113,354,129,018","998,945","9,820.05","-33.78",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

