"2015/02 Highlights of Daily Trading"
"Date","Trade Volume","Trade Value","Transaction","TAIEX","Change",
"2015/02/02","4,198,820,720","73,061,323,101","676,154","9,386.99","25.08",
"2015/02/03","4,540,480,721","77,845,519,444","697,145","9,448.73","61.74",
"2015/02/04","5,265,101,501","98,275,417,026","859,289","9,513.92","65.19",
"2015/02/05","4,297,455,180","74,420,917,173","659,579","9,512.05","-1.87",
"2015/02/06","3,930,850,804","72,878,510,518","671,147","9,456.18","-55.87",
"2015/02/09","3,552,049,489","66,408,178,128","607,561","9,421.50","-34.68",
"2015/02/10","3,926,336,083","76,023,533,973","686,564","9,393.70","-27.80",
"2015/02/11","4,496,931,292","97,422,271,241","758,016","9,462.22","68.52",
"2015/02/12","3,662,319,286","76,959,919,131","648,853","9,496.31","34.09",
"2015/02/13","3,395,867,320","77,582,870,579","676,388","9,529.51","33.20",
"2015/02/24","4,158,918,452","114,787,053,310","874,827","9,629.37","99.86",
"2015/02/25","4,754,236,685","97,194,558,587","868,161","9,699.54","70.17",
"2015/02/26","4,438,632,573","98,596,499,325","784,838","9,622.10","-77.44",
"Remarks:"
"Statistics of today cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

