"2025/08  Daily Trading Value/Volume of 1477 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2025/08/01","1,440,525","383,089,446","259.50","271.00","257.50","267.50","+3.00","1,618",
"2025/08/04","777,340","208,454,476","265.50","269.50","264.50","269.50","+2.00","1,331",
"2025/08/05","1,310,319","352,514,138","270.00","270.50","267.00","268.50","-1.00","1,557",
"2025/08/06","1,091,644","290,646,201","270.00","270.00","265.00","265.00","-3.50","1,340",
"2025/08/07","1,300,496","351,088,182","266.50","272.00","266.50","269.00","+4.00","1,727",
"2025/08/08","1,057,905","281,608,567","269.00","270.00","264.00","267.00","-2.00","2,200",
"2025/08/11","987,257","261,391,550","266.00","266.50","263.00","266.50","-0.50","1,385",
"2025/08/12","849,608","224,732,425","266.00","267.00","263.00","263.00","-3.50","1,840",
"2025/08/13","1,221,556","321,236,356","265.00","267.00","259.50","262.00","-1.00","2,520",
"2025/08/14","1,535,880","411,069,686","263.00","271.50","262.00","269.00","+7.00","2,769",
"2025/08/15","1,746,915","470,341,697","269.00","271.00","266.00","269.50","X0.00","3,154",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

