"2024/02  Daily Trading Value/Volume of 1477 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2024/02/01","683,963","247,642,924","360.00","364.00","360.00","362.00","+2.00","758",
"2024/02/02","824,538","301,278,264","362.50","367.00","361.00","367.00","+5.00","946",
"2024/02/05","1,440,422","523,222,380","365.00","366.00","359.00","364.00","-3.00","1,596",
"2024/02/15","1,430,705","521,554,094","367.00","372.00","359.00","364.50","+0.50","1,524",
"2024/02/16","953,747","347,084,514","366.00","367.00","361.50","363.00","-1.50","1,112",
"2024/02/19","758,709","277,489,231","363.50","369.00","361.50","369.00","+6.00","900",
"2024/02/20","1,939,769","731,670,683","371.00","382.00","370.00","378.50","+9.50","2,155",
"2024/02/21","1,543,229","576,468,871","373.50","377.00","368.00","374.50","-4.00","1,566",
"2024/02/22","1,099,312","414,854,966","375.00","380.50","374.00","376.00","+1.50","1,034",
"2024/02/23","902,205","338,821,803","375.50","378.50","373.00","373.50","-2.50","1,043",
"2024/02/26","564,107","210,822,276","372.00","377.50","371.50","373.00","-0.50","691",
"2024/02/27","941,893","351,975,421","375.00","380.00","370.50","373.00"," 0.00","1,001",
"2024/02/29","1,449,626","536,726,698","373.00","374.50","366.50","371.50","-1.50","1,398",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

