"2019/06  Daily Trading Value/Volume of 6184 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2019/06/03","27,642","1,031,026","37.10","37.45","37.10","37.40","-0.10","28",
"2019/06/04","32,520","1,212,666","37.40","37.40","37.20","37.20","-0.20","29",
"2019/06/05","51,106","1,909,864","37.30","37.40","37.25","37.40","+0.20","26",
"2019/06/06","19,300","721,790","37.40","37.40","37.40","37.40"," 0.00","18",
"2019/06/10","44,014","1,647,523","37.40","37.50","37.30","37.30","-0.10","26",
"2019/06/11","38,673","1,444,518","37.30","37.40","37.30","37.35","+0.05","31",
"2019/06/12","45,170","1,686,031","37.30","37.35","37.30","37.30","-0.05","26",
"2019/06/13","32,334","1,207,307","37.35","37.40","37.30","37.30"," 0.00","23",
"2019/06/14","66,144","2,466,678","37.30","37.40","37.20","37.25","-0.05","33",
"2019/06/17","80,268","2,988,618","37.20","37.40","37.10","37.40","+0.15","48",
"2019/06/18","183,178","6,838,369","37.35","37.40","37.20","37.35","-0.05","76",
"2019/06/19","72,169","2,700,452","37.35","37.50","37.35","37.50","+0.15","45",
"2019/06/20","61,430","2,310,175","37.50","37.70","37.50","37.70","+0.20","48",
"2019/06/21","40,785","1,538,192","37.70","37.75","37.65","37.70"," 0.00","39",
"2019/06/24","158,320","5,983,235","37.90","38.00","37.65","37.95","+0.25","109",
"2019/06/25","54,130","2,053,626","38.00","38.00","37.85","37.95"," 0.00","36",
"2019/06/26","194,563","7,293,303","37.85","37.85","37.25","37.45","-0.50","131",
"2019/06/27","159,933","5,976,138","37.45","37.55","37.15","37.55","+0.10","113",
"2019/06/28","108,413","4,057,507","37.50","37.50","37.40","37.45","-0.10","66",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

