"2015/02  Daily Trading Value/Volume of 1473 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2015/02/02","112,059","3,069,471","27.50","27.50","27.20","27.45","-0.05","61",
"2015/02/03","115,448","3,167,796","27.50","27.50","27.35","27.45"," 0.00","64",
"2015/02/04","248,697","6,825,812","27.40","27.55","27.40","27.45"," 0.00","102",
"2015/02/05","102,918","2,829,044","27.45","27.55","27.45","27.50","+0.05","52",
"2015/02/06","204,635","5,617,348","27.45","27.55","27.30","27.40","-0.10","77",
"2015/02/09","124,001","3,415,827","27.40","27.70","27.40","27.50","+0.10","67",
"2015/02/10","100,052","2,755,872","27.50","27.70","27.50","27.50"," 0.00","57",
"2015/02/11","190,840","5,238,920","27.45","27.60","27.15","27.55","+0.05","134",
"2015/02/12","113,299","3,112,122","27.45","27.60","27.40","27.50","-0.05","50",
"2015/02/13","88,270","2,417,983","27.50","27.50","27.25","27.25","-0.25","50",
"2015/02/24","128,150","3,499,102","27.30","27.65","27.10","27.35","+0.10","82",
"2015/02/25","88,669","2,417,313","27.35","27.35","27.20","27.20","-0.15","65",
"2015/02/26","122,192","3,329,950","27.25","27.50","27.10","27.10","-0.10","82",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."

