"2023/01  Daily Trading Value/Volume of 8046 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2023/01/03","6,384,667","1,466,305,807","224.00","234.00","224.00","233.00","+6.00","5,071",
"2023/01/04","15,667,933","3,537,319,703","233.00","233.00","221.50","223.00","-10.00","14,686",
"2023/01/05","13,775,614","3,044,370,094","225.00","226.50","217.00","219.50","-3.50","11,016",
"2023/01/06","10,561,630","2,371,474,989","220.00","228.00","220.00","227.50","+8.00","8,696",
"2023/01/09","11,848,009","2,772,972,431","233.00","236.00","230.50","236.00","+8.50","10,137",
"2023/01/10","7,162,509","1,675,773,343","234.50","236.50","231.50","236.50","+0.50","8,405",
"2023/01/11","7,206,093","1,696,639,756","238.00","239.00","234.00","234.00","-2.50","5,876",
"2023/01/12","5,304,301","1,241,428,250","234.00","237.00","232.00","232.00","-2.00","4,416",
"2023/01/13","11,265,420","2,637,351,523","236.00","238.50","230.00","230.00","-2.00","8,377",
"2023/01/16","6,844,488","1,594,903,405","232.50","235.50","231.00","233.00","+3.00","5,408",
"2023/01/17","4,818,982","1,125,360,915","232.00","235.50","230.50","234.50","+1.50","4,045",
"2023/01/30","11,475,056","2,791,065,323","242.00","246.00","239.00","246.00","+11.50","9,223",
"2023/01/31","6,582,871","1,608,564,315","244.00","248.00","242.00","243.00","-3.00","5,684",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

