"2025/08  Daily Trading Value/Volume of 2103 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2025/08/01","723,124","13,062,583","18.00","18.15","17.95","18.10","-0.10","393",
"2025/08/04","672,678","12,004,985","17.95","18.10","17.60","18.00","-0.10","340",
"2025/08/05","470,919","8,472,941","18.00","18.15","17.95","18.00"," 0.00","235",
"2025/08/06","354,621","6,348,627","17.80","18.00","17.80","17.85","-0.15","233",
"2025/08/07","732,596","13,052,639","17.95","18.00","17.70","17.75","-0.10","290",
"2025/08/08","1,831,401","31,830,237","17.65","17.70","17.25","17.30","-0.45","956",
"2025/08/11","951,657","16,270,492","17.25","17.25","16.95","17.10","-0.20","487",
"2025/08/12","722,700","12,462,352","17.05","17.40","17.00","17.30","+0.20","390",
"2025/08/13","577,755","10,043,414","17.50","17.55","17.25","17.30"," 0.00","354",
"2025/08/14","848,173","14,847,551","17.45","17.65","17.35","17.40","+0.10","482",
"2025/08/15","823,307","14,220,778","17.55","17.55","17.15","17.40"," 0.00","558",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

