"2020/01  Daily Trading Value/Volume of 1303 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2020/01/02","2,189,652","158,866,297","72.80","72.90","72.20","72.60","-0.20","1,045",
"2020/01/03","3,781,701","276,041,273","72.80","73.20","72.60","73.20","+0.60","1,963",
"2020/01/06","2,672,016","195,238,868","73.20","73.20","72.90","73.00","-0.20","1,287",
"2020/01/07","3,377,914","244,993,853","73.00","73.00","72.10","72.60","-0.40","1,454",
"2020/01/08","3,175,434","227,995,400","72.10","72.20","71.60","71.60","-1.00","1,597",
"2020/01/09","2,673,269","192,838,068","71.60","72.50","71.60","72.40","+0.80","1,269",
"2020/01/10","3,274,598","235,843,266","71.90","72.50","71.50","71.90","-0.50","1,637",
"2020/01/13","4,190,931","304,553,683","71.90","73.00","71.70","73.00","+1.10","2,222",
"2020/01/14","3,040,300","221,532,136","72.80","73.00","72.50","73.00"," 0.00","1,415",
"2020/01/15","4,187,493","303,725,959","73.00","73.00","71.90","72.70","-0.30","2,030",
"2020/01/16","2,407,534","174,665,046","72.50","72.90","72.20","72.90","+0.20","951",
"2020/01/17","3,058,941","222,779,864","73.00","73.00","72.50","73.00","+0.10","1,394",
"2020/01/20","2,934,054","214,118,696","72.90","73.20","72.60","72.80","-0.20","1,691",
"2020/01/30","13,967,893","973,595,345","69.70","71.30","68.60","68.60","-4.20","6,931",
"2020/01/31","6,665,272","463,801,480","68.80","70.00","68.80","69.70","+1.10","3,080",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

