"2025/04  Daily Trading Value/Volume of 1473 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2025/04/01","373,216","13,404,233","35.30","36.30","35.30","36.25","+0.95","265",
"2025/04/02","171,382","6,205,479","36.30","36.40","35.95","36.30","+0.05","111",
"2025/04/07","154,794","5,061,750","32.70","32.70","32.70","32.70","-3.60","98",
"2025/04/08","600,388","17,765,624","30.00","30.50","29.45","29.45","-3.25","418",
"2025/04/09","813,157","21,738,961","26.85","27.25","26.55","26.55","-2.90","673",
"2025/04/10","539,184","15,671,815","29.10","29.20","28.45","29.10","+2.55","324",
"2025/04/11","689,922","19,278,662","27.35","28.85","26.90","28.55","-0.55","402",
"2025/04/14","468,364","13,362,631","28.70","29.35","28.20","28.30","-0.25","391",
"2025/04/15","355,223","10,187,239","28.35","29.00","28.30","28.80","+0.50","188",
"2025/04/16","232,609","6,607,631","28.80","28.80","28.25","28.30","-0.50","271",
"2025/04/17","144,611","4,069,491","28.15","28.35","27.95","28.15","-0.15","125",
"2025/04/18","119,189","3,395,909","28.20","28.70","28.20","28.50","+0.35","86",
"2025/04/21","302,646","8,495,667","28.50","28.55","27.85","27.90","-0.60","173",
"2025/04/22","192,836","5,302,840","27.90","27.90","27.30","27.45","-0.45","193",
"2025/04/23","264,090","7,401,680","27.75","28.20","27.65","28.10","+0.65","132",
"2025/04/24","190,459","5,425,117","28.30","28.70","28.30","28.50","+0.40","130",
"2025/04/25","227,130","6,561,291","28.90","29.15","28.65","29.00","+0.50","149",
"2025/04/28","159,750","4,683,111","29.10","29.50","29.10","29.30","+0.30","104",
"2025/04/29","130,558","3,855,527","29.40","29.65","29.30","29.60","+0.30","89",
"2025/04/30","244,887","7,350,064","29.65","30.30","29.65","30.00","+0.40","155",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

