"2020/04  Daily Trading Value/Volume of 1473 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2020/04/01","143,361","3,021,725","21.30","21.35","20.90","21.00","-0.10","104",
"2020/04/06","309,700","6,457,531","21.00","21.05","20.70","20.70","-0.30","210",
"2020/04/07","494,877","10,344,903","20.95","21.30","20.70","20.85","+0.15","331",
"2020/04/08","768,599","16,554,778","20.95","22.00","20.95","21.90","+1.05","561",
"2020/04/09","696,010","15,180,473","22.00","22.35","21.40","21.75","-0.15","489",
"2020/04/10","342,019","7,399,119","21.85","21.85","21.45","21.60","-0.15","251",
"2020/04/13","351,072","7,510,876","21.50","21.60","21.20","21.40","-0.20","250",
"2020/04/14","432,105","9,262,614","21.15","21.75","21.00","21.75","+0.35","282",
"2020/04/15","953,140","21,062,634","21.75","22.80","21.75","21.85","+0.10","698",
"2020/04/16","483,400","10,355,400","21.80","21.80","21.20","21.45","-0.40","346",
"2020/04/17","404,343","8,666,455","21.50","21.70","21.25","21.30","-0.15","307",
"2020/04/20","241,510","5,139,437","21.50","21.50","21.20","21.25","-0.05","143",
"2020/04/21","888,051","17,933,007","21.25","21.25","19.60","19.65","-1.60","572",
"2020/04/22","453,273","8,606,243","19.40","19.40","18.70","19.35","-0.30","300",
"2020/04/23","428,000","8,227,600","19.80","19.80","19.00","19.30","-0.05","251",
"2020/04/24","194,087","3,758,945","19.30","19.50","19.05","19.30"," 0.00","133",
"2020/04/27","233,290","4,567,284","19.50","19.75","19.30","19.65","+0.35","142",
"2020/04/28","304,353","6,093,165","19.75","20.25","19.75","20.10","+0.45","198",
"2020/04/29","280,266","5,680,569","20.20","20.40","20.15","20.40","+0.30","179",
"2020/04/30","445,100","9,210,219","20.60","20.85","20.55","20.80","+0.40","262",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

