"2025/08  Daily Trading Value/Volume of 2395 "
"Date","Trade Volume","Trade Value","Opening Price","Highest Price","Lowest Price","Closing Price","Change","Transaction",
"2025/08/01","3,339,267","1,075,857,479","332.00","333.00","317.50","317.50","-18.00","5,652",
"2025/08/04","2,037,417","653,038,830","316.00","325.50","312.50","323.00","+5.50","2,149",
"2025/08/05","2,725,088","883,648,635","324.00","329.50","318.50","328.00","+5.00","3,824",
"2025/08/06","2,276,822","741,523,726","326.00","328.00","322.00","325.50","-2.50","3,197",
"2025/08/07","3,402,119","1,123,982,719","328.50","333.00","327.00","329.00","+3.50","2,747",
"2025/08/08","3,139,660","1,020,331,198","329.00","331.50","322.00","322.00","-7.00","3,188",
"2025/08/11","4,163,389","1,328,156,888","325.00","325.50","316.00","319.00","-3.00","3,777",
"2025/08/12","2,110,881","674,208,657","319.00","321.50","317.00","319.00"," 0.00","1,982",
"2025/08/13","2,212,607","701,907,934","322.00","324.00","314.50","315.50","-3.50","3,158",
"2025/08/14","3,617,070","1,141,681,965","318.50","318.50","314.50","315.00","-0.50","3,016",
"2025/08/15","2,261,209","717,653,585","315.00","319.00","313.50","318.00","+3.00","1,643",
"Remarks:"
" Symbols for Direction:+/-/ X represent Up/Down/Not compared.
"
"Today statistics cover regular trading, Odd-lot, After-hour Fixed Price, Block trading, but exclude Auction and Tender offers."
"If the last digit of the 6 digit alphanumeric ETF security code is K, M, S or C, it is traded in foreign currency."

